DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
15-Oct-2016,42,14,16,46,51,25,53,5,Merlin,"TEAL87789613;AQUA18621032,AQUA66505326,AQUA94566761,BLUE03065830,GREY01023217,GREY45423764,GREY53534226,JADE49771992,LIME16107930,NAVY10054942,NAVY73242691,PINK74966428,PINK78963844,PLUM09967869,ROSE47770935,ROSE48199458,ROSE72942822,RUBY75245717,TEAL47154944,TEAL49891256",2172
12-Oct-2016,22,30,36,58,29,2,53,7,Merlin,"ROSE79220846;AQUA30997687,AQUA87978298,BLUE17949909,BLUE30934379,BLUE67437723,GREY35443327,GREY57804893,GREY68420381,JADE18482868,LIME09504122,LIME54620163,LIME69014500,NAVY94277467,PINK14446675,PLUM04772202,PLUM47429349,ROSE41623625,TEAL20923423,TEAL47956695,TEAL86768817",2171
08-Oct-2016,20,11,40,42,32,17,27,6,Merlin,"RUBY40623471;AQUA16245243,AQUA50447125,AQUA53592910,AQUA60867454,BLUE85311948,GOLD01840204,GOLD26501449,GOLD79504965,JADE42752357,JADE82525857,JADE91692012,LIME69062234,NAVY54427890,NAVY93126421,PINK03743094,PINK20421518,PLUM87388472,ROSE71864796,RUBY30940075,TEAL95959350",2170
05-Oct-2016,25,44,11,37,43,16,39,7,Lancelot,"JADE88575816;JADE02934575,JADE35410457,JADE45763848,LIME29511707,LIME39739509,LIME44958551,LIME51287747,NAVY32916633,NAVY92155499,PINK18059405,PINK85933704,PLUM07652516,PLUM99251331,ROSE18595678,ROSE23644321,ROSE48379420,ROSE76079586,RUBY19843187,RUBY50210400,TEAL70346600",2169
01-Oct-2016,4,58,5,18,28,43,55,8,Merlin,"GREY66676443;AQUA12049846,AQUA26881680,AQUA75961955,GOLD46242262,GREY17735368,GREY40643766,GREY83566306,GREY91957779,JADE73257909,JADE76128742,LIME54011244,NAVY36418697,PLUM18596570,PLUM59263065,ROSE27468189,ROSE54463125,ROSE93089058,TEAL06334483,TEAL34471713,TEAL98077314",2168
28-Sep-2016,29,51,19,53,37,41,55,5,Lancelot,"JADE32635682;AQUA65399593,BLUE99700688,GOLD51810539,GREY55557537,JADE19134498,JADE57353718,JADE74808747,LIME14430212,LIME86299216,LIME88012353,LIME92167659,NAVY33344231,PINK07028270,PINK78514470,PLUM53934234,ROSE87959521,RUBY35889502,TEAL29829906,TEAL79027529,TEAL97955259",2167
24-Sep-2016,34,11,43,24,47,44,42,6,Merlin,"LIME69328463;AQUA14696995,AQUA65764054,BLUE22196837,GOLD21022813,GOLD81069389,GREY25144943,GREY88354071,JADE53740254,JADE68113646,LIME06703885,LIME36535338,LIME42318097,NAVY02691676,NAVY42123644,PINK62352597,PINK70562121,ROSE79319231,RUBY19604179,RUBY70411134,TEAL93660017",2166
21-Sep-2016,28,21,56,49,20,33,43,2,Lancelot,"ROSE34384387;AQUA09724939,BLUE72907234,GOLD06384549,GOLD83209965,GOLD87123886,GOLD91175140,GREY25317992,GREY73221476,JADE21423252,JADE44949629,JADE94686194,JADE96202394,LIME91486261,NAVY06595871,PLUM91245900,PLUM98424786,ROSE35898672,ROSE48546243,TEAL00528730,TEAL86702173",2165
17-Sep-2016,25,54,52,10,14,29,37,3,Merlin,"LIME89747115;AQUA07731775,AQUA34134621,BLUE14235535,BLUE19535908,BLUE19651256,BLUE22849889,GOLD73960306,GREY70640654,NAVY14521096,PINK11331218,PINK20256273,PINK54248118,PINK81575282,PLUM56740568,PLUM61400445,PLUM65513111,ROSE64645467,ROSE89421079,ROSE97294976,TEAL83627530",2164
14-Sep-2016,42,58,16,35,23,44,28,3,Merlin,"TEAL88849642;BLUE74934291,GOLD05743528,GOLD64256931,JADE31866046,LIME37804430,LIME40008730,LIME54405677,NAVY05747622,NAVY12820766,NAVY35824180,PINK44368160,PINK83691378,PLUM69254292,PLUM79232291,ROSE05057483,ROSE74631287,ROSE85837117,RUBY84982263,TEAL65633016,TEAL94564919",2163
10-Sep-2016,6,47,17,51,37,46,2,1,Merlin,"TEAL24096564;AQUA13145957,AQUA20631637,AQUA60008287,BLUE59773665,GOLD67216743,GREY14800488,GREY73231300,GREY75531083,JADE00220780,LIME05932034,NAVY35797565,NAVY95197960,PINK21912643,PINK74476282,PLUM18366243,PLUM28018600,RUBY52206348,RUBY64373559,RUBY76094719,RUBY97019029",2162
07-Sep-2016,30,12,10,44,3,29,11,4,Lancelot,"JADE23682424;BLUE20943113,BLUE62281793,JADE00008917,JADE97126094,LIME16470043,LIME19252461,LIME80318017,LIME89936268,LIME94358061,NAVY46342473,NAVY83953696,PINK92501397,PLUM10455710,PLUM36277838,PLUM59071286,PLUM66413975,ROSE77673641,RUBY12070192,RUBY79376390,TEAL63172557",2161
03-Sep-2016,6,28,2,38,17,55,37,4,Merlin,"TEAL15184151;AQUA14950213,AQUA85501969,AQUA92394675,BLUE46349969,BLUE61122546,BLUE71936374,GOLD00018676,GREY19096302,JADE64170283,LIME16598676,LIME69868818,NAVY93818271,PINK36716051,ROSE50606513,ROSE54772739,ROSE60737938,RUBY99321910,TEAL22051700,TEAL37512074,TEAL54568236",2160
31-Aug-2016,16,49,47,15,26,45,50,2,Merlin,"PINK44506047;AQUA38248453,BLUE02004378,BLUE13590629,BLUE77283484,GOLD28716960,GOLD51969234,GREY29061391,JADE63178617,JADE98110891,LIME06184032,LIME38508780,LIME72434451,NAVY61044439,NAVY77645744,PINK93188732,PLUM38999168,PLUM85578144,ROSE97817937,RUBY94736584,TEAL07001949",2159
27-Aug-2016,23,22,5,34,54,10,8,1,Lancelot,"BLUE50289118;BLUE84547115,GOLD17252280,GOLD61034373,GOLD95412526,GREY25812955,GREY37665684,GREY40834140,GREY86291283,JADE28691603,NAVY97695599,PINK22996082,PINK98673892,PINK99085565,PLUM13384794,PLUM30532520,ROSE06705287,RUBY13105159,RUBY21961678,RUBY63797801,TEAL50462950;AQUA47387825,AQUA96201575,BLUE51421933,GOLD17876575,GOLD20760102,GOLD60475126,GREY32367932,GREY63582982,GREY78988538,GREY87466648,JADE43938071,JADE44757068,LIME24575224,NAVY11477567,NAVY29186121,NAVY54229963,NAVY72035458,PINK76439874,PLUM12492215,PLUM36449100,PLUM42210870,ROSE59861328,RUBY06890343,RUBY37161344,RUBY68633083,RUBY71001234,TEAL67990436;AQUA07071998,AQUA36467415,AQUA51496394,BLUE08050910,BLUE36860372,BLUE82751836,GOLD86417597,GREY56956430,GREY63290019,LIME88514038,LIME97541399,NAVY29073572,PINK12697153,PINK21957600,PINK41685639,PINK85670378,PLUM43054613,PLUM83662597,RUBY97545235,TEAL15799097,TEAL31814941,TEAL39248104,TEAL96741334;AQUA99269638,BLUE15856129,GOLD77893704,GREY14314050,GREY65049014,GREY87553255,LIME80126075,LIME99261380,NAVY40391338,NAVY62234550,PINK45674787,PINK75590910,PINK94586310,PLUM61684483,ROSE84427465,TEAL22541021,TEAL28962870",2158
24-Aug-2016,15,10,38,4,59,37,1,2,Lancelot,"BLUE57046574;AQUA03116423,AQUA92706167,BLUE71326245,BLUE76688855,GOLD49647766,GOLD75767252,GREY38003293,JADE15986630,JADE39929152,LIME97235986,NAVY12023201,PLUM15383420,PLUM35016950,ROSE57350440,ROSE67601489,RUBY15511181,RUBY22586594,RUBY39544911,RUBY77971171,TEAL43469085",2157
20-Aug-2016,26,18,35,8,52,41,17,4,Merlin,"ROSE85392996;AQUA40647310,GREY83418672,JADE56894167,JADE64383771,LIME17562114,LIME37766349,LIME77666228,NAVY16085614,PINK01355596,PINK13085149,PINK44320132,PINK51530345,PINK98341382,PINK98842063,PLUM74427818,RUBY65045392,TEAL22119196,TEAL36125698,TEAL83625720,TEAL95490919",2156
17-Aug-2016,27,37,15,4,59,36,55,1,Merlin,"RUBY71706569;AQUA51340790,BLUE60665289,GREY31611413,GREY64098779,JADE16871906,LIME42212007,NAVY07493305,NAVY13658863,NAVY25400573,NAVY47096798,PINK48889318,PLUM21633769,PLUM60100377,ROSE45216611,ROSE46638301,RUBY02341544,RUBY52398190,RUBY94871730,TEAL29203407,TEAL85758733",2155
13-Aug-2016,39,31,43,46,12,20,38,3,Merlin,"PLUM54223183;AQUA04833574,BLUE10010211,BLUE34889250,BLUE50736327,GOLD05422321,GREY40790606,GREY50482716,JADE12838480,JADE32607094,JADE65362527,LIME33160778,LIME99869106,LIME99874834,ROSE01142127,ROSE11986154,ROSE19838448,ROSE98170276,TEAL07917085,TEAL18895322,TEAL99786552",2154
10-Aug-2016,35,40,59,11,17,36,39,1,Merlin,"BLUE87129732;BLUE92788944,GOLD04330334,GOLD17772056,GOLD37696355,GOLD43125345,GREY27069801,GREY35581712,JADE55429535,JADE67601895,JADE81090092,NAVY23259797,NAVY73686753,NAVY86408086,PINK36322683,RUBY18985806,RUBY40923237,RUBY86451215,RUBY93468029,TEAL71730137,TEAL80043471",2153
06-Aug-2016,39,34,54,53,47,42,8,4,Lancelot,"PLUM12190366;BLUE07456319,BLUE66622268,GOLD12182578,GOLD27584471,GOLD93669333,GREY08609437,GREY53354425,LIME23179086,LIME49689315,NAVY35691442,NAVY81303513,PINK48463599,PINK72386345,PINK74569008,PLUM43076144,ROSE96931078,ROSE97407545,RUBY07637561,RUBY88199060,TEAL45023403",2152
03-Aug-2016,55,41,16,17,22,38,5,3,Merlin,"LIME24289317;AQUA08236780,AQUA21876287,AQUA41911640,GOLD00011979,GOLD15861046,GOLD94278783,GREY31783959,GREY72873392,GREY88623326,GREY96389516,LIME42378914,LIME96192024,NAVY13446742,PINK29926963,PLUM17793417,PLUM30738894,ROSE82778170,RUBY14237964,TEAL56142965,TEAL71087424",2151
30-Jul-2016,41,14,51,28,57,26,48,2,Merlin,"JADE03807567;AQUA31278728,AQUA62986596,AQUA95491783,GOLD56896786,GREY49015133,JADE42100230,JADE70492602,LIME92478392,NAVY73138325,PINK20579249,PINK78854217,PINK95635031,PLUM83061800,ROSE02036381,ROSE56417654,RUBY04481773,RUBY31586378,RUBY74128159,TEAL47856805,TEAL76324738",2150
27-Jul-2016,26,40,46,24,9,38,30,4,Lancelot,"JADE15973166;AQUA09434830,BLUE81202207,GOLD89436147,GREY07756318,GREY76866683,JADE26332416,JADE41574259,JADE87523602,JADE89710163,LIME52020022,NAVY82827032,PINK67485538,PLUM37015374,PLUM92176867,ROSE42399240,ROSE54171456,ROSE83500940,ROSE88068176,RUBY79137396,TEAL41750746",2149
23-Jul-2016,20,54,19,37,59,30,25,2,Merlin,"BLUE32904318;AQUA40739572,BLUE08978263,BLUE53748077,BLUE78239438,BLUE80478554,GREY21920588,GREY23535922,GREY91876212,JADE03111311,LIME31585276,LIME39747519,LIME59591220,LIME79271495,NAVY99036423,PINK10712291,PINK26143208,PLUM00849082,PLUM66766353,ROSE50986170,ROSE90687437",2148
20-Jul-2016,18,30,37,59,29,46,23,6,Merlin,"JADE05535870;AQUA17671487,AQUA71604176,AQUA92263549,BLUE52907748,GOLD50662584,GOLD65745739,GOLD76884348,GREY05395488,JADE32184427,NAVY15755077,PINK16642437,PINK63131510,PLUM85900618,PLUM94145513,ROSE66020653,ROSE76602202,RUBY47916784,RUBY54819925,TEAL79003232,TEAL92384624",2147
16-Jul-2016,32,50,36,14,17,10,41,1,Lancelot,"GREY77312584;AQUA08355441,AQUA14056393,AQUA40712328,AQUA57903749,AQUA66095160,BLUE08704496,BLUE48025873,BLUE58694201,GOLD62255303,GREY07582751,JADE88536660,LIME75756871,NAVY48188319,NAVY84133570,PINK07894059,PINK45219022,ROSE04773446,RUBY41153114,RUBY51327225,RUBY64035445",2146
13-Jul-2016,22,30,58,34,1,57,51,3,Merlin,"BLUE35816147;AQUA67206334,AQUA79687689,BLUE25686744,GOLD06862178,GOLD68513801,GOLD73498442,GOLD88274337,GREY46521969,JADE70607071,LIME19917417,LIME28535009,NAVY75178910,NAVY81078686,PINK14195528,PLUM18029724,PLUM54306654,ROSE35889372,ROSE46318323,TEAL17292016,TEAL66049297",2145
09-Jul-2016,1,29,3,42,36,22,12,7,Merlin,"LIME56681742;AQUA11345587,AQUA78016911,BLUE07339394,GOLD67464498,GREY93217853,GREY97093469,JADE47705561,LIME06660365,LIME32828286,NAVY45619231,PINK44592046,PLUM70864718,ROSE11022648,ROSE14978101,ROSE85259576,RUBY07301625,RUBY63252123,RUBY67324985,TEAL40332418,TEAL73189246",2144
06-Jul-2016,38,20,3,39,1,24,4,6,Lancelot,"AQUA89288463;AQUA69588283,GOLD21900448,GREY03116993,GREY73611916,JADE17886754,JADE76920627,LIME14326774,LIME20327484,NAVY03300611,NAVY32142210,NAVY65439481,PINK39760183,PINK54791969,PLUM00041415,PLUM01292202,PLUM16778935,ROSE21202003,ROSE44550079,RUBY07446983,RUBY58372414",2143
